scale,outcome,sample,N,R2,beta_scale,se_scale,p_scale,beta_omega,p_omega,beta_kappa,p_kappa,baseline_controlled
STAI_Trait,accel_post,exploratory,289,0.04246703939527774,-0.057152526335167354,0.05806031394896456,0.3257711223373312,0.17815378674559826,0.004607069652786259,-0.16918496341208344,0.007035268593670156,False
STAI_State,pre_at_lowT,exploratory,290,0.19323300905451635,0.05579824522857071,0.053164308600468384,0.29481418802108866,0.2586323545262802,8.966713733529056e-06,-0.4569212621061503,3.2371679118936634e-14,False
STAI_State,pre_at_lowT,confirmatory,279,0.2479317979009278,0.09874435621488749,0.052901425097699996,0.06302546089508175,0.27900380720886764,1.9762604875076234e-06,-0.5302012431298401,2.9137999184956e-18,False
STAI_State,pre_at_midT,exploratory,290,0.15717591301352274,0.0521196115032797,0.054339367540830845,0.33829325303649205,0.24907652193175447,2.7638398799539075e-05,-0.4072014918696652,2.183499074338363e-11,False
STAI_State,pre_at_midT,confirmatory,279,0.24479833242907623,0.08589336422216544,0.05301151649897153,0.10631878341811841,0.28277490803287364,1.5252571170953973e-06,-0.5261634539282627,5.574290865811782e-18,False
STAI_State,pre_at_highT,exploratory,290,0.18104821233652757,0.032557660568154276,0.053564280737790716,0.5437864833086068,0.32600535898009836,3.717516520863329e-08,-0.41530067387017394,4.94942567213216e-12,False
STAI_State,pre_at_highT,confirmatory,279,0.24962760651779636,0.056397110834860244,0.05284174878068703,0.2867800123163174,0.32021269617695836,5.640052662171576e-08,-0.5217693940174778,7.844463794567263e-18,False
STAI_State,pre_slope_T,exploratory,290,0.05356747393335093,-0.049190606256049665,0.05758255599491251,0.393674646530069,0.2177504439736524,0.00051033046159171,0.024275871467267507,0.6952367782811835,False
STAI_State,pre_slope_T,confirmatory,279,0.05281220908091977,-0.14722006425972445,0.05936859946758075,0.013746150326962327,0.18180434765152773,0.005123259295427876,-0.023145905877947816,0.7160039311563384,False
STAI_State,abs_peak_strike,exploratory,290,0.2122611520605595,-0.016361194691841188,0.05253360952661523,0.7556912038620426,0.12867499304615768,0.023524031150247315,-0.49241193736962174,2.335509215121821e-16,False
STAI_State,abs_peak_strike,confirmatory,279,0.2779527253548356,0.010324240795348093,0.051834817602332856,0.8422724202882689,0.21929860182344635,0.00012168047564474741,-0.5657306817436156,6.515182086916315e-21,False
STAI_State,peak_post,exploratory,290,0.593011740253428,-0.018066986852855762,0.0378361533925719,0.6333679063381807,0.2690058744033168,2.9948651629431396e-10,-0.37591259893823625,1.3564243736651472e-17,True
STAI_State,accel_post,exploratory,290,0.04064248235687995,0.03929660993670006,0.057974411859533836,0.49842950703632605,0.1761837112207274,0.005058841098962225,-0.17279662797506198,0.00592805682565908,False
STICSA_Total,pre_at_lowT,exploratory,290,0.19045608229912214,-0.018189877603822256,0.05324345204141199,0.7328757554442462,0.26060555151526443,7.900349807368343e-06,-0.4586363657404903,2.862942359127587e-14,False
STICSA_Total,pre_at_lowT,confirmatory,279,0.24447119316411636,0.07819880881950235,0.05261968718827373,0.13839471534864292,0.27536697060242804,2.6974053150714084e-06,-0.5215651506715269,6.109687631654561e-18,False
