subj,subj_idx,alpha_bayes,alpha_sd,rho_bayes,rho_sd,gamma_bayes,gamma_sd,alpha_ols,rho_ols
207,206,0.50454444,0.03003737,0.04300733,0.030373761,0.65623647,0.024001319,0.5073342230573389,0.027755857
208,207,0.61223185,0.03121197,0.097447135,0.02946155,0.8836914,0.024126608,0.6163933867894134,0.11357987
209,208,0.037935063,0.029631905,0.07679943,0.02976742,0.66555387,0.023695694,0.03511254831537367,0.08201665
210,209,0.0036508334,0.029398803,-0.0015429206,0.030404013,0.6477433,0.024520857,5.3101606445338234e-11,-0.048440695
211,210,0.01871806,0.03015965,0.06662267,0.029098235,0.6638189,0.023705127,0.01544964595104746,0.06643605
212,211,0.0038411613,0.031086817,0.024726138,0.029671289,0.64939785,0.022948552,8.175881021089176e-08,-0.003605187
213,212,0.15154676,0.030747306,0.12693557,0.029695798,0.7048155,0.024568053,0.1498378861224658,0.16666412
214,213,0.81690353,0.03021269,0.06814472,0.029818414,0.7742663,0.024493542,0.822852736711502,0.06596398
215,214,0.694418,0.030734226,0.057194225,0.030559756,0.56141347,0.024292935,0.6988308908026896,0.052918375
216,215,0.95526314,0.030965392,0.022251492,0.029530847,0.9144125,0.024744375,0.9621872822811575,-0.013640761
217,216,0.013205625,0.031271376,-0.03694447,0.031173524,1.3516598,0.024486197,0.009000327136065508,-0.13115406
218,217,0.49549276,0.029903783,0.058179963,0.02899661,0.67010564,0.023628568,0.4972768747233383,0.051202297
219,218,0.5773076,0.030504793,0.042920213,0.029711014,0.578676,0.024070749,0.5802535561947106,0.028233051
220,219,0.4917086,0.031059965,-0.0079046525,0.030659972,0.47274122,0.024568537,0.49370460865306265,-0.05326742
221,220,0.068967834,0.03064421,0.05580484,0.030448686,0.6729324,0.024091646,0.06563676984946219,0.047622085
222,221,0.1325067,0.030705255,0.05827086,0.0290235,0.7526916,0.024145272,0.12996251322937746,0.05057925
223,222,0.23368447,0.030536627,0.20100076,0.030785346,1.2858372,0.025415923,0.2327275596371529,0.2779534
224,223,0.16244034,0.03055023,0.092760436,0.030659646,0.61479396,0.02478744,0.16032867779513446,0.112109125
225,224,0.45548376,0.030194875,0.10785822,0.028963136,0.6587317,0.023522811,0.4575894646299319,0.13546109
