subj,event_idx,rating,p_threat,dist_safety,pre_threat,pre_effort_H,pre_term_mean,pre_onset_slope,fol_threat,fol_onset_slope,fol_term_mean
6,77,2,0.1000000014901161,9.0,0.5,1.0,0.26068687438964844,-0.20060373036034496,0.9,-0.19955732300469511,0.21765632927417755
6,80,2,0.1000000014901161,4.0,0.5,0.6,0.18724040687084198,0.19656037560680695,,,
7,0,2,0.5,7.0,,,,,0.9,0.1756642265943684,-0.22212378680706024
7,13,3,0.5,5.0,0.5,1.0,0.019278381019830704,-0.045979612880066516,0.1,0.21908823159598695,-0.17491377890110016
7,15,4,0.5,5.0,0.1,0.8,-0.17491377890110016,0.21908823159598695,0.1,-0.16178968167679536,0.07479950785636902
7,26,3,0.1000000014901161,9.0,0.1,0.6,0.06276358664035797,0.2747831782322787,0.5,0.10867958215019995,-0.1813853532075882
7,3,3,0.8999999761581421,5.0,0.5,1.0,0.09786133468151093,0.22058984155626785,0.5,-0.24966946133067386,0.07807157933712006
7,36,0,0.5,9.0,0.1,0.8,-0.40252313017845154,-0.29718938415786905,0.1,0.15896604142299833,-0.10816812515258789
7,40,4,0.8999999761581421,7.0,0.9,0.6,0.06007791683077812,-0.2180833756660066,0.1,-0.2820357112773923,0.10238035768270493
7,42,4,0.5,9.0,0.1,1.0,0.10238035768270493,-0.2820357112773923,0.1,0.41028773271228924,0.046409886330366135
7,48,4,0.1000000014901161,7.0,0.9,0.6,0.29335451126098633,0.4886282249390347,0.1,0.5722489232877224,0.2009831964969635
7,50,2,0.5,7.0,0.1,0.8,0.2009831964969635,0.5722489232877224,0.5,-0.18039197809058233,0.20951804518699646
7,54,3,0.8999999761581421,7.0,0.9,0.6,-0.2144586741924286,-0.2084615457332413,0.9,0.458680386694958,-0.03976939618587494
7,56,6,0.8999999761581421,9.0,0.9,0.8,-0.03976939618587494,0.458680386694958,0.1,-0.1643417208564067,-0.26280754804611206
7,58,3,0.1000000014901161,7.0,0.1,1.0,-0.26280754804611206,-0.1643417208564067,0.5,-0.4122534627376158,-0.1298048049211502
7,64,5,0.8999999761581421,9.0,0.9,0.8,-0.3137722313404083,-0.28336975052998065,0.1,0.37751693649603707,0.1384720802307129
7,68,5,0.1000000014901161,5.0,0.1,0.6,0.1488945335149765,-0.05790359882672141,0.5,-0.2971623396281713,-0.14231905341148376
7,75,6,0.8999999761581421,4.0,0.5,1.0,0.1403959095478058,0.45823090237474423,0.5,0.3608026155669673,0.15025469660758972
7,77,6,0.1000000014901161,9.0,0.5,1.0,0.15025469660758972,0.3608026155669673,0.9,0.32645880493924373,0.081079863011837
7,80,3,0.1000000014901161,5.0,0.5,0.6,0.051376961171627045,0.4485477926081951,,,
8,1,6,0.8999999761581421,7.0,0.5,0.6,-0.05875163525342941,-0.1037671559658747,0.9,-0.29669739620220537,0.019676219671964645
8,14,6,0.5,9.0,0.5,0.6,-0.0736003890633583,0.033329229081633965,0.5,-0.20434811176789802,-0.039028290659189224
8,23,6,0.8999999761581421,5.0,0.5,1.0,-0.004459296818822622,0.4004640531611612,0.9,0.09859184528694949,0.16119356453418732
8,25,5,0.8999999761581421,5.0,0.9,0.6,0.16119356453418732,0.09859184528694949,0.5,-0.2830470627541637,-0.1974678486585617
