subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,rel_rate,subj_cookie_mean,rel_rate_cc
1,0.9,2,0,1.1026827495886269,2,0.03393149308992264,0.023993188859668776,1.0368585610145806,1.0631765138969642,1.0371586798384556
1,0.9,2,1,1.0904515962043844,2,0.039255064076963775,0.027757522004733526,1.0253575412495888,1.0637919870133938,1.025060923109449
1,0.9,3,0,1.1396170533898495,2,0.09144911948990207,0.06466429252484862,1.0715880868965244,1.0631765138969642,1.071898258185464
1,0.9,3,1,1.0228222371931228,2,0.0606951200510474,0.04291793097302721,0.9617652887246307,1.0637919870133938,0.961487066719412
2,0.1,1,0,0.5509732303164702,14,0.1868921792954054,0.04994903594220953,0.9266373458607535,0.5835971288358452,0.9440985966047281
2,0.1,1,1,0.5406062677942464,5,0.1782146851566008,0.07970003011977643,0.9092019894629234,0.6055913552623671,0.8926915206047377
2,0.1,2,0,0.7637611257520759,2,0.45605123347970317,0.32247691976198756,1.2845081094629884,0.5835971288358452,1.308712959701533
2,0.1,2,1,0.784313725490196,2,0.22183742154872066,0.1568627450980391,1.3190738658808292,0.6055913552623671,1.295120411932563
2,0.1,3,0,0.4492304554884988,2,0.06508742743055491,0.046023761306132685,0.7555243958305905,0.5835971288358452,0.7697612501703359
2,0.1,3,1,0.6328274427735705,2,0.0792921072554533,0.05606798673490207,1.0643013302528865,0.6055913552623671,1.0449743664181
2,0.5,1,0,0.47424265571369123,15,0.15386653986256635,0.03972816976175194,0.7975903938782586,0.5835971288358452,0.8126199261118823
2,0.5,1,1,0.6049505051187816,4,0.1269582908882173,0.06347914544410865,1.0174173618533293,0.6055913552623671,0.9989417779200169
2,0.5,2,0,0.5988885370818986,2,0.040393394703879905,0.028562443310258253,1.0072222277464264,0.5835971288358452,1.0262019936193938
2,0.5,2,1,0.6018305813451759,2,0.035944052927903904,0.025416283568649025,1.0121702142138673,0.6055913552623671,0.9937899147923571
2,0.5,3,0,0.7109898585849281,2,0.03124624125281407,0.02209442907645567,1.1957563802412488,0.5835971288358452,1.218288821953605
2,0.5,3,1,0.5636615111484431,2,0.07099544252153443,0.050201358840316755,0.947976739912479,0.6055913552623671,0.9307621488491059
2,0.9,1,0,0.5771338689083062,16,0.19249505414833398,0.048123763537083496,0.9706348095793401,0.5835971288358452,0.9889251341238914
2,0.9,1,1,0.6170957386398166,3,0.13089326023178313,0.07557125902992773,1.0378434485224162,0.6055913552623671,1.0189969412170115
2,0.9,2,0,0.5507497920028501,2,0.12855833845393047,0.09090447289884952,0.9262615630195843,0.5835971288358452,0.9437157326347394
2,0.9,2,1,0.4396547423040462,2,0.04374656531813193,0.030933492990071323,0.7394197777443936,0.6055913552623671,0.7259924344751746
2,0.9,3,0,0.5764046356738877,2,0.016934225444899358,0.011974305646230114,0.9694083711397322,0.5835971288358452,0.9876755850798905
2,0.9,3,1,0.6653816827470278,2,0.033253459572241635,0.023513746761444767,1.1190516753979523,0.6055913552623671,1.0987304837909337
3,0.1,1,0,0.9029801191861738,9,0.0647551353783991,0.02158504512613303,1.0349667688810977,0.8818866115946237,1.0239186164232712
3,0.1,1,1,0.8512350628649349,7,0.10886495805756019,0.04114708650139736,0.9756582496695896,0.8630585331898515,0.9863005000585334
3,0.1,2,0,0.8305624204936926,2,0.10940254224453702,0.07735927950015986,0.9519639319048948,0.8818866115946237,0.9418018252844015
3,0.1,2,1,0.8937716756863345,4,0.08521427879888989,0.042607139399444945,1.024412347124789,0.8630585331898515,1.0355863957256384
3,0.1,3,0,0.91287353841992,2,0.005035489973715231,0.0035606291070109093,1.0463062877918405,0.8818866115946237,1.0351370872603065
3,0.1,3,1,0.79040850935024,3,0.06013021151995471,0.03471619380747499,0.9059408104750093,0.8630585331898515,0.915822599457886
3,0.5,1,0,0.9086510559004934,11,0.054912711483315314,0.0165568054737452,1.0414666141412994,0.8818866115946237,1.0303490765751329
3,0.5,1,1,0.8838119917686651,6,0.07910398655574638,0.03229406728025987,1.012996877764691,0.8630585331898515,1.0240464091144654
3,0.5,2,0,0.9207754712341065,2,0.005121439110350263,0.00362140432436267,1.0553632290232653,0.8818866115946237,1.0440973466749475
3,0.5,2,1,0.8578059536855439,3,0.0906195680046961,0.0523192319813589,0.9831895933800197,0.8630585331898515,0.9939139938922866
3,0.5,3,0,0.7064564064440215,2,0.0892210069225399,0.06308877901921986,0.8097176103851432,0.8818866115946237,0.8010739670563883
3,0.5,3,1,0.8275798620811617,3,0.11082960903151935,0.06398750460852869,0.9485454193843775,0.8630585331898515,0.9588919294065015
3,0.9,1,0,0.9072902225504618,12,0.0910426396355292,0.026281746250653437,1.0399068707257553,0.8818866115946237,1.0288059832430196
3,0.9,1,1,0.9053288122812341,6,0.1612973816968065,0.06584938033401845,1.0376587653625693,0.8630585331898515,1.0489773027736047
3,0.9,2,0,0.9504848406849744,2,0.01910133956087506,0.013506686733241624,1.0894151527065596,0.8818866115946237,1.0777857699487146
3,0.9,2,1,0.9382689208702844,2,0.01755034745113491,0.012409969694877536,1.0754136583315614,0.8630585331898515,1.0871440172226285
3,0.9,3,0,0.896905429437769,2,0.055611320718516044,0.03932314199080264,1.0280041548796643,0.8818866115946237,1.017030327533818
3,0.9,3,1,0.8193160101202652,3,0.06457757805422379,0.03728388207322018,0.9390736580678725,0.8630585331898515,0.949316852348456
4,0.1,1,0,0.9248083924749556,2,0.03362846616244615,0.023778916464368024,0.9600226273326347,0.9158038297364297,1.0098324143731932
