subj,baseline,cruising_rate,post_encounter_rate,encounter_spike,spike_peak,spike_peak_time,threat_gain_pre,threat_gain_post,ramp_speed,c_effort,c_death,log_ce,log_cd
47,0.8666907497609072,0.85167892195651,0.8457305517559967,0.046722384566089806,0.11062787893888937,0.9,-0.060480091577441386,0.0555127045383732,-0.010433631902107124,0.4189915207327418,9.319617392330551,-0.8699045961794658,2.232121575529782
48,1.090271893665475,1.0056939620347736,1.0389270730249238,0.02439857256992447,0.21572446324610228,2.3,0.07138871419106008,0.05905169391699383,-0.028683392797065697,0.9143092142805612,36.31574152808569,-0.0895864559006428,3.5922512981828745
49,0.9743075261467776,1.0740114801089091,1.0739585480322256,0.03779724722360879,0.1621074366075168,2.9,0.03520333715292745,0.05094514547282514,0.08847421104119862,0.6180532189036324,49.9838702993802,-0.48118071050131006,3.9117003593711086
50,0.9209702016031509,0.9423436583332585,0.9300572577782447,0.05623629444685002,0.10207086374843954,1.3,0.039182087614889505,0.01903674873558714,0.01812116157471239,0.8471024415139498,26.16371146210369,-0.16593364534603508,3.264373391988306
51,1.1674684103646944,1.133720902888602,1.116458928702004,0.0377289534392764,0.13847419676202022,1.7,0.08518481395495159,0.03966957349433353,-0.03779379912950966,0.254867431057505,89.21219691009641,-1.367011747213103,4.491017766898632
52,1.0234315564772634,1.005650662194721,1.0545114530805102,0.02814222941024582,0.2515523937532692,1.5,0.026650783191309868,-0.02713186889028063,0.025659888551861958,1.121367472627405,60.270905585641295,0.11454889824734124,4.098849492861436
53,0.9419188389034158,0.9000565485115818,0.8986647515972791,0.0314679800756749,0.15795060865097588,2.3,-0.052771321816445504,0.02044248239787938,-0.02605150556806993,1.03307404238367,27.265952168424796,0.03253886461013194,3.3056387505052585
54,0.9798629423109763,0.9720053957807095,0.965807998068277,0.02360620258330339,0.05979641797001778,0.1,0.036877286919392405,0.04055305680451049,-0.00943472990989372,0.4902989083017829,11.390698652482266,-0.7127400569197536,2.432797114689625
55,0.686106154151536,0.714924894697277,0.7571751981362436,0.03541976764852563,0.09633773373255794,1.7,0.09516070378893882,0.06853097863307567,0.031264121103916735,1.2976353877978004,2.0904976164929026,0.2605436757378785,0.7374021316525806
56,1.0501554303709935,1.1052452479953812,1.01391402378544,0.06942482293862173,0.17936701034106795,0.9,0.13055347975694476,0.10388719761953824,0.05890786025672446,0.6807814106096088,36.20235287275705,-0.384514007310795,3.5891241132045466
57,0.7154502343239326,0.6834089547154705,0.6744143068113962,0.034358906159529835,0.1585526609460216,2.9,0.04101126049983872,0.03247386099367222,-0.025181534107199775,0.6776374729196054,1.170499620134372,-0.3891428347536902,0.15743068341598807
58,0.9068476663900817,0.9452719382052018,0.9143415463203455,0.012302694764372069,0.15599640850930085,0.3,-0.041793819588941905,0.008682057670562737,0.04549830575392529,0.6810047349943289,20.970123541705785,-0.3841860198548453,3.043098736251066
59,0.8594952005705434,0.8626237260752742,0.8462030680321002,0.04052749463055424,0.10886758327835377,0.7,0.0069832525661543965,0.028814511200310755,-0.007520413196709103,0.7829914756243396,9.04554940041344,-0.2446334698649769,2.202272857789062
60,1.2663704737115773,1.355739042737152,1.4822197733173916,-0.0750870518773296,0.6930443500672323,1.9,-0.269776238585246,-0.08486231623704898,0.12277303627387325,0.335619272786826,1.5115475007450707,-1.0917778781869112,0.41313396097254057
61,0.9729743732028305,0.9826459375937009,0.9598694649771013,0.06559604889525128,0.16578690152752995,1.3,0.0398666203425706,0.05620060990016962,-0.003074465096593716,0.7939455882785369,27.83503967749136,-0.23074034869964652,3.3262956470877105
62,0.8257718368616477,0.8491986973556263,0.892046427426631,-0.013739532043708758,0.6104388870943452,2.5,0.08171201355971491,-0.11847816952019896,0.006867566248157899,0.1616795166609848,3.024648630865507,-1.8221391953705524,1.1067949296504975
