test,sample,N,R2,predictor,beta,p,scale
C_clinical_full,confirmatory,281,0.0787971167685767,anxiety_intercept_HvL,0.39533618766172307,0.00017128050234205193,OASIS_Total
C_clinical_full,confirmatory,281,0.0787971167685767,anxiety_slopeT_HvL,0.21411319151911803,0.019740363401342144,OASIS_Total
C_clinical_full,confirmatory,281,0.0787971167685767,anxiety_slopeD_HvL,0.22788129069908725,0.006172980964578356,OASIS_Total
C_clinical_full,confirmatory,281,0.0787971167685767,confidence_intercept_HvL,-0.1512650856567672,0.18711744242705283,OASIS_Total
C_clinical_full,confirmatory,281,0.0787971167685767,confidence_slopeT_HvL,-0.058122423929216786,0.554784785165866,OASIS_Total
C_clinical_full,confirmatory,281,0.0787971167685767,confidence_slopeD_HvL,-0.12632047734575047,0.1028463846594806,OASIS_Total
C_clinical_full,exploratory,290,0.014134064118634826,omega_z,-0.04626871884502118,0.47857561298630336,STICSA_Total
C_clinical_full,exploratory,290,0.014134064118634826,kappa_z,-0.0015089122212809134,0.981337969483976,STICSA_Total
C_clinical_full,exploratory,290,0.014134064118634826,anxiety_intercept_HvL,0.02821428294733728,0.7861991743629798,STICSA_Total
C_clinical_full,exploratory,290,0.014134064118634826,anxiety_slopeT_HvL,-0.06305501057246185,0.4937372254436188,STICSA_Total
C_clinical_full,exploratory,290,0.014134064118634826,anxiety_slopeD_HvL,-0.042596876743400604,0.5772589406589409,STICSA_Total
C_clinical_full,exploratory,290,0.014134064118634826,confidence_intercept_HvL,-0.01928191989670115,0.855896001770016,STICSA_Total
C_clinical_full,exploratory,290,0.014134064118634826,confidence_slopeT_HvL,0.025268896619105752,0.7702698833452072,STICSA_Total
C_clinical_full,exploratory,290,0.014134064118634826,confidence_slopeD_HvL,-0.050017649310160096,0.5261263960326987,STICSA_Total
C_clinical_full,confirmatory,281,0.04658731433284591,omega_z,-0.04873521476245839,0.4454673807163314,STICSA_Total
C_clinical_full,confirmatory,281,0.04658731433284591,kappa_z,0.06320494603758416,0.32782037745873444,STICSA_Total
C_clinical_full,confirmatory,281,0.04658731433284591,anxiety_intercept_HvL,0.22999364140109238,0.030169269988203653,STICSA_Total
C_clinical_full,confirmatory,281,0.04658731433284591,anxiety_slopeT_HvL,0.08484866958309605,0.36179535719497885,STICSA_Total
C_clinical_full,confirmatory,281,0.04658731433284591,anxiety_slopeD_HvL,0.17407886717194393,0.039165879318687334,STICSA_Total
C_clinical_full,confirmatory,281,0.04658731433284591,confidence_intercept_HvL,-0.11296126861970812,0.3325223810235747,STICSA_Total
C_clinical_full,confirmatory,281,0.04658731433284591,confidence_slopeT_HvL,0.014302349786849,0.8863698315717393,STICSA_Total
C_clinical_full,confirmatory,281,0.04658731433284591,confidence_slopeD_HvL,-0.08192904091533644,0.2976632567318819,STICSA_Total
C_clinical_full,exploratory,290,0.06840294368782363,omega_z,0.08030584860449566,0.20624919082407162,AMI_Total
C_clinical_full,exploratory,290,0.06840294368782363,kappa_z,-0.055318557093124165,0.3780063222467546,AMI_Total
C_clinical_full,exploratory,290,0.06840294368782363,anxiety_intercept_HvL,0.23776945193383908,0.019272403990986422,AMI_Total
C_clinical_full,exploratory,290,0.06840294368782363,anxiety_slopeT_HvL,0.0748480326816523,0.4034193613028538,AMI_Total
C_clinical_full,exploratory,290,0.06840294368782363,anxiety_slopeD_HvL,-0.013786548269026052,0.8527372998715111,AMI_Total
C_clinical_full,exploratory,290,0.06840294368782363,confidence_intercept_HvL,-0.042015905607959696,0.6839870712518524,AMI_Total
C_clinical_full,exploratory,290,0.06840294368782363,confidence_slopeT_HvL,0.08737853634483737,0.2993285084938336,AMI_Total
C_clinical_full,exploratory,290,0.06840294368782363,confidence_slopeD_HvL,-0.13689315747285027,0.07500721372667568,AMI_Total
C_clinical_full,confirmatory,281,0.10893278439622278,omega_z,0.11077556923904348,0.07351674949306906,AMI_Total
C_clinical_full,confirmatory,281,0.10893278439622278,kappa_z,0.01623826569184342,0.7946682820053896,AMI_Total
C_clinical_full,confirmatory,281,0.10893278439622278,anxiety_intercept_HvL,0.35007165967428294,0.0006944740309929778,AMI_Total
C_clinical_full,confirmatory,281,0.10893278439622278,anxiety_slopeT_HvL,0.20410059401060876,0.023810305367070184,AMI_Total
C_clinical_full,confirmatory,281,0.10893278439622278,anxiety_slopeD_HvL,0.20472200995607231,0.012271500514494786,AMI_Total
