subj,alpha_v,delta,r,p,n_trials,delta_sh_r,delta_sh_r_corrected
147,-0.048981319753779555,0.12646816165934896,0.19315299869492006,0.20363643831701392,45,-0.3204305875777517,-0.9430400536587225
148,-0.017995198223676182,0.04646301180703297,0.15685726471183456,0.3034760937728799,45,-0.3204305875777517,-0.9430400536587225
149,-0.037395497243625786,0.096553947801165,0.18365188053256556,0.22719734320466273,45,-0.3204305875777517,-0.9430400536587225
150,0.019017606568463744,-0.049102836631689024,-0.09557195090839453,0.5322945923974863,45,-0.3204305875777517,-0.9430400536587225
151,0.0008478994088260863,-0.0021892484736083313,-0.006007965297412692,0.9687557680390949,45,-0.3204305875777517,-0.9430400536587225
152,0.040142495314373756,-0.10813140092378737,-0.047227141640798574,0.8042733969976524,30,-0.3204305875777517,-0.9430400536587225
153,0.018830808737957873,-0.048620530757842104,-0.16283074441283943,0.2851972986202211,45,-0.3204305875777517,-0.9430400536587225
154,0.0014202251908974838,-0.0036669748781368123,-0.00223960629337688,0.9883505252925334,45,-0.3204305875777517,-0.9430400536587225
155,-0.03117304996747189,0.08048779294880035,0.2535244891714138,0.09287662700636777,45,-0.3204305875777517,-0.9430400536587225
156,-0.013420953006160335,0.03465246063066,0.16434747580325706,0.28067296577081574,45,-0.3204305875777517,-0.9430400536587225
157,-0.023130613454879333,0.05972248555972941,0.20415991270324382,0.17855239025026434,45,-0.3204305875777517,-0.9430400536587225
158,0.05514860157508713,-0.1423918811160037,-0.07962603318442661,0.6031029689862427,45,-0.3204305875777517,-0.9430400536587225
159,0.022762307921031143,-0.05877153274692428,-0.19467578251794168,0.2000260574802438,45,-0.3204305875777517,-0.9430400536587225
160,0.0034321250514379362,-0.009009328260024487,-0.01231191410067628,0.9383171001570042,42,-0.3204305875777517,-0.9430400536587225
161,0.026964347067321162,-0.06962106005086999,-0.15029794565608523,0.32439324941358694,45,-0.3204305875777517,-0.9430400536587225
162,-0.01934886702821799,0.04995814027777583,0.10600802243104213,0.4882662297086383,45,-0.3204305875777517,-0.9430400536587225
163,-0.003456946047566233,0.009038534657473576,0.02039025794014407,0.8954798528702081,44,-0.3204305875777517,-0.9430400536587225
164,-0.006836585220146049,0.017651838888082035,0.044910444180996385,0.7695691676961364,45,-0.3204305875777517,-0.9430400536587225
165,-0.013885251706534327,0.035851264652117416,0.12843194034777786,0.4004635714915367,45,-0.3204305875777517,-0.9430400536587225
166,-0.005105546995492411,0.013182354947378109,0.04254643803882761,0.7813928793441736,45,-0.3204305875777517,-0.9430400536587225
167,-0.022930295313704805,0.05920527068702458,0.20306298632961509,0.18094768899032695,45,-0.3204305875777517,-0.9430400536587225
168,0.026293454225549417,-0.06788883672990202,-0.2020656758069411,0.18314535640023163,45,-0.3204305875777517,-0.9430400536587225
169,-0.00779934283982106,0.020137647496259365,0.03555786998987763,0.8166231106100427,45,-0.3204305875777517,-0.9430400536587225
170,0.018943602752667574,-0.04891176120565802,-0.09105439119931022,0.5519364289212144,45,-0.3204305875777517,-0.9430400536587225
171,0.014591081039979572,-0.037673692849127915,-0.09794545467368934,0.5221135616794217,45,-0.3204305875777517,-0.9430400536587225
172,-0.00028926715757359134,0.0007468783166858165,0.001943132293007794,0.9898925706799464,45,-0.3204305875777517,-0.9430400536587225
173,-0.02366880947837782,0.06111209004663125,0.2200785945263696,0.14631639850663777,45,-0.3204305875777517,-0.9430400536587225
174,-0.020504861150502783,0.05294287920006868,0.15514789600562903,0.3088418834482653,45,-0.3204305875777517,-0.9430400536587225
175,0.007044646304484421,-0.01818904578616873,-0.06425816108677505,0.6749525284583293,45,-0.3204305875777517,-0.9430400536587225
176,0.02341249910659343,-0.06059705651118303,-0.12268889813942699,0.4275439234234283,44,-0.3204305875777517,-0.9430400536587225
177,0.00348244342094699,-0.008991554734412445,-0.014778153594534273,0.9232423011341204,45,-0.3204305875777517,-0.9430400536587225
178,-0.036986545480547084,0.09549804775715046,0.16395944002882484,0.28182595531253507,45,-0.3204305875777517,-0.9430400536587225
179,-0.014605560820080925,0.0374980706827394,0.07539088060896892,0.6308802982584812,43,-0.3204305875777517,-0.9430400536587225
180,0.036452310346867314,-0.09411867015789525,-0.2186985028542938,0.14892788657404332,45,-0.3204305875777517,-0.9430400536587225
181,0.007048905269222386,-0.01820004229348414,-0.03793159951443601,0.8046129717083428,45,-0.3204305875777517,-0.9430400536587225
182,0.046833651343027555,-0.12092295223814514,-0.236030944814916,0.11853925403699905,45,-0.3204305875777517,-0.9430400536587225
183,-0.001217029970909481,0.0031423314822662833,0.012404226435496435,0.9355440841153239,45,-0.3204305875777517,-0.9430400536587225
184,-0.006073787374490689,0.01568231986036532,0.05017813210065071,0.7434112575846468,45,-0.3204305875777517,-0.9430400536587225
185,-0.008259606089410534,0.021326032116100777,0.04758828255929205,0.7562380979638477,45,-0.3204305875777517,-0.9430400536587225
186,-0.004753048429421721,0.012272215207113501,0.016565773116383596,0.9139903071543912,45,-0.3204305875777517,-0.9430400536587225
187,0.002164554748449275,-0.005588809391488043,-0.013207986910540866,0.9313771605616046,45,-0.3204305875777517,-0.9430400536587225
188,0.027250479844799128,-0.07035984550091577,-0.16311655690472843,0.28434111807210277,45,-0.3204305875777517,-0.9430400536587225
189,0.002864615533897632,-0.007396343386703005,-0.02577335296389954,0.8665396289216469,45,-0.3204305875777517,-0.9430400536587225
190,-0.04631044769715185,0.12108334372430178,0.21313183679980394,0.16480944013463814,44,-0.3204305875777517,-0.9430400536587225
191,0.007197877399653251,-0.018584683449924238,-0.10286336661811786,0.5013303821960206,45,-0.3204305875777517,-0.9430400536587225
