subj,k,beta,mean_anxiety,mean_confidence,k_z,beta_z,mean_anxiety_z,mean_confidence_z,mean_S_probe
24,1.1596656,20.219975,6.055555555555555,5.166666666666667,-0.7826267248837999,-0.8244286523718012,1.266427827839596,1.4864749832722537,0.612698418469656
25,3.716404,125.51857,4.611111111111111,5.111111111111111,-0.3795475684854951,1.6785450592951494,0.16194618015991086,1.44519989398564,0.612698418469656
26,8.0099745,43.668743,1.2222222222222223,2.7222222222222223,0.2973495184736746,-0.2670456229498302,-2.4293376855501188,-0.3296289453387233,0.612698418469656
27,7.162038,37.793823,4.277777777777778,1.5555555555555556,0.16366922912560072,-0.40669392802119786,-0.09293420007386237,-1.1964058203575987,0.612698418469656
28,2.8440223,165.0292,4.333333333333333,4.611111111111111,-0.5170817329871583,2.6177225309546674,-0.05045413670156694,1.073724090406122,0.612698418469656
29,3.1185586,31.172152,4.0,3.2777777777777777,-0.47380008156567843,-0.5640926895175636,-0.30533451693534014,0.08312194752740763,0.612698418469656
30,2.7627308,98.89932,4.944444444444445,3.4444444444444446,-0.5298976351703275,1.0457988866202863,0.41682656039368476,0.20694721538724717,0.612698418469656
31,2.4953992,24.965277,5.666666666666667,2.388888888888889,-0.5720434392958529,-0.7116316472463236,0.9690673842335273,-0.5772794810584021,0.612698418469656
32,14.512806,38.38218,3.7222222222222223,2.8333333333333335,1.3225446793162243,-0.3927085362495867,-0.517734833796818,-0.24707876676549703,0.612698418469656
33,1.6383514,76.09903,3.6666666666666665,3.2777777777777777,-0.707160158400562,0.5038303400467745,-0.5602148971691138,0.08312194752740763,0.612698418469656
34,8.222317,42.008667,5.055555555555555,2.0555555555555554,0.3308260899396904,-0.3065060410814227,0.5017866871382756,-0.8249300167780809,0.612698418469656
35,28.025763,43.610466,5.666666666666667,2.5555555555555554,3.4529117548084094,-0.268430881689463,0.9690673842335273,-0.4534542131985628,0.612698418469656
36,4.1431704,72.57561,4.277777777777778,3.1666666666666665,-0.3122662852336999,0.4200777730238092,-0.09293420007386237,0.0005717689541813826,0.612698418469656
37,17.086575,32.48994,6.555555555555555,1.3333333333333333,1.7283087720697532,-0.5327685420154041,1.6487483981902562,-1.3615061775040511,0.612698418469656
38,5.290704,34.483505,5.5,3.388888888888889,-0.13135341771987458,-0.485381007666068,0.8416271941166403,0.1656721261006339,0.612698418469656
39,1.10711,14.27437,2.888888888888889,2.3333333333333335,-0.7909123073712404,-0.9657571574193339,-1.1549357843812518,-0.618554570345015,0.612698418469656
40,2.4951327,36.74757,4.277777777777778,3.4444444444444446,-0.5720854539951981,-0.4315636212469497,-0.09293420007386237,0.20694721538724717,0.612698418469656
41,11.756099,54.71864,4.333333333333333,1.6111111111111112,0.8879397420268632,-0.004386831466168826,-0.05045413670156694,-1.1551307310709855,0.612698418469656
42,3.8187613,18.392277,6.055555555555555,0.0,-0.36341056591409077,-0.8678734870048395,1.266427827839596,-2.3521083203827655,0.612698418469656
43,16.894075,26.49058,4.444444444444445,3.4444444444444446,1.6979604432744908,-0.6753748167413511,0.03450599004302459,0.20694721538724717,0.612698418469656
44,5.2093506,152.38477,7.0,0.3888888888888889,-0.14417907866435523,2.317161294700633,1.988588905168621,-2.063182695376474,0.612698418469656
45,9.415349,35.18792,5.166666666666667,2.0555555555555554,0.5189119465592738,-0.46863688845817286,0.5867468138828671,-0.8249300167780809,0.612698418469656
46,6.1213636,85.41447,4.722222222222222,4.722222222222222,-0.00039689482251702634,0.7252606585862647,0.24690630690450238,1.1562742689793486,0.612698418469656
47,3.5412862,19.198082,5.277777777777778,1.5,-0.4071555299000563,-0.8487193023575534,0.671706940627458,-1.2376809096442118,0.612698418469656
48,7.0144935,77.16686,2.7222222222222223,2.6666666666666665,0.1404082992662105,0.5292129239124882,-1.2823759744981382,-0.3709040346253366,0.612698418469656
49,2.5800316,175.12244,5.222222222222222,1.4444444444444444,-0.5587008320130883,2.857641348347676,0.6292268772551626,-1.2789559989308248,0.612698418469656
50,7.266561,53.438137,3.4444444444444446,3.5555555555555554,0.18014766221997602,-0.03482470527360826,-0.7301351506582957,0.2894973939604731,0.612698418469656
