subj,optimality_rate,overcautious_rate,overrisky_rate,mean_ev_loss,heavy_rate,survival_rate,total_earnings,heavy_rate_lowT,heavy_rate_highT,threat_sensitivity_choice
84,0.7777777777777778,0.2222222222222222,0.0,0.07847661646490184,0.3333333333333333,1.0,105,0.8666666666666667,0.0,0.8666666666666667
85,0.7555555555555555,0.2,0.044444444444444446,0.11716174777199512,0.4,0.8222222222222222,89,0.6666666666666666,0.13333333333333333,0.5333333333333333
86,0.8444444444444444,0.0,0.15555555555555556,0.14042954428949722,0.7111111111111111,0.7777777777777778,139,1.0,0.3333333333333333,0.6666666666666667
87,0.8666666666666667,0.044444444444444446,0.08888888888888889,0.08703743916898848,0.6,0.8222222222222222,117,1.0,0.26666666666666666,0.7333333333333334
88,0.7111111111111111,0.28888888888888886,0.0,0.1393570249725697,0.26666666666666666,0.9111111111111111,77,0.7333333333333333,0.0,0.7333333333333333
89,0.6444444444444445,0.3333333333333333,0.022222222222222223,0.23661039820339008,0.24444444444444444,0.7555555555555555,62,0.4666666666666667,0.06666666666666667,0.4
90,0.7555555555555555,0.06666666666666667,0.17777777777777778,0.21495959882319243,0.6666666666666666,0.8444444444444444,134,0.8666666666666667,0.4,0.4666666666666667
91,0.6444444444444445,0.0,0.35555555555555557,0.3167841289980385,0.9111111111111111,0.7555555555555555,154,1.0,0.8,0.19999999999999996
92,0.7555555555555555,0.08888888888888889,0.15555555555555556,0.20833470758192485,0.6222222222222222,0.8,124,0.9333333333333333,0.26666666666666666,0.6666666666666667
93,0.6888888888888889,0.1111111111111111,0.2,0.2900659113027804,0.6444444444444445,0.7333333333333333,109,0.6666666666666666,0.3333333333333333,0.3333333333333333
94,0.7333333333333333,0.26666666666666666,0.0,0.11410938996811466,0.28888888888888886,0.6222222222222222,68,0.8666666666666667,0.0,0.8666666666666667
95,0.7555555555555555,0.24444444444444444,0.0,0.10546353846512029,0.3111111111111111,0.9111111111111111,97,0.9333333333333333,0.0,0.9333333333333333
96,0.6888888888888889,0.044444444444444446,0.26666666666666666,0.24908052177913215,0.7777777777777778,0.5777777777777777,110,0.9333333333333333,0.5333333333333333,0.4
97,0.6888888888888889,0.044444444444444446,0.26666666666666666,0.23488023555890286,0.7777777777777778,0.6,111,0.9333333333333333,0.5333333333333333,0.4
98,0.4444444444444444,0.5555555555555556,0.0,0.5508052547238982,0.0,0.9777777777777777,44,0.0,0.0,0.0
99,0.7333333333333333,0.24444444444444444,0.022222222222222223,0.11553950069258255,0.3333333333333333,0.9333333333333333,90,0.6666666666666666,0.06666666666666667,0.6
100,0.7555555555555555,0.15555555555555556,0.08888888888888889,0.14149217757032703,0.4888888888888889,0.6222222222222222,88,1.0,0.13333333333333333,0.8666666666666667
101,0.6666666666666666,0.022222222222222223,0.3111111111111111,0.2760451126468079,0.8444444444444444,0.9333333333333333,182,1.0,0.7333333333333333,0.2666666666666667
102,0.7777777777777778,0.2222222222222222,0.0,0.0968176869621259,0.3333333333333333,0.7777777777777778,87,1.0,0.0,1.0
103,0.8,0.022222222222222223,0.17777777777777778,0.1653643583377068,0.7111111111111111,0.6,107,0.9333333333333333,0.4666666666666667,0.4666666666666667
104,0.5333333333333333,0.4222222222222222,0.044444444444444446,0.4295250451754471,0.17777777777777778,0.6444444444444445,45,0.26666666666666666,0.06666666666666667,0.2
105,0.8444444444444444,0.15555555555555556,0.0,0.03419799145869463,0.4,0.8444444444444444,94,0.9333333333333333,0.0,0.9333333333333333
106,0.7777777777777778,0.06666666666666667,0.15555555555555556,0.15457301825762124,0.6444444444444445,0.5333333333333333,96,0.9333333333333333,0.4,0.5333333333333333
107,0.8222222222222222,0.06666666666666667,0.1111111111111111,0.10507688771509562,0.6,0.8,116,0.9333333333333333,0.13333333333333333,0.8
108,0.7555555555555555,0.24444444444444444,0.0,0.11289478671796888,0.3111111111111111,0.8666666666666667,83,0.8,0.0,0.8
109,0.6444444444444445,0.26666666666666666,0.08888888888888889,0.256698044333145,0.37777777777777777,0.6444444444444445,69,0.5333333333333333,0.2,0.3333333333333333
110,0.4666666666666667,0.5333333333333333,0.0,0.516387084470831,0.022222222222222223,0.7111111111111111,32,0.06666666666666667,0.0,0.06666666666666667
111,0.7111111111111111,0.24444444444444444,0.044444444444444446,0.20848394506996715,0.35555555555555557,0.5555555555555556,69,0.6,0.13333333333333333,0.4666666666666667
112,0.7555555555555555,0.2222222222222222,0.022222222222222223,0.09705907975324748,0.35555555555555557,0.8888888888888888,96,0.8666666666666667,0.0,0.8666666666666667
113,0.6888888888888889,0.17777777777777778,0.13333333333333333,0.331568651006844,0.5111111111111111,0.7111111111111111,88,0.5333333333333333,0.3333333333333333,0.2
114,0.7111111111111111,0.24444444444444444,0.044444444444444446,0.2451682641797737,0.35555555555555557,0.8888888888888888,92,0.6,0.06666666666666667,0.5333333333333333
115,0.7777777777777778,0.15555555555555556,0.06666666666666667,0.09715534487420785,0.4666666666666667,0.8888888888888888,108,0.9333333333333333,0.2,0.7333333333333334
116,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.27501794614800246,0.35555555555555557,0.9777777777777777,104,0.6,0.06666666666666667,0.5333333333333333
117,0.5111111111111111,0.4,0.08888888888888889,0.46646871137141865,0.24444444444444444,0.6222222222222222,56,0.13333333333333333,0.26666666666666666,-0.13333333333333333
118,0.7111111111111111,0.26666666666666666,0.022222222222222223,0.1499576709456496,0.3111111111111111,0.5555555555555556,65,0.6,0.06666666666666667,0.5333333333333333
119,0.5555555555555556,0.4444444444444444,0.0,0.37785607912218366,0.1111111111111111,0.5777777777777777,42,0.3333333333333333,0.0,0.3333333333333333
120,0.8222222222222222,0.13333333333333333,0.044444444444444446,0.08412549240083636,0.4666666666666667,0.8,100,0.9333333333333333,0.13333333333333333,0.8
121,0.6888888888888889,0.3111111111111111,0.0,0.215816750086497,0.24444444444444444,0.6666666666666666,70,0.6666666666666666,0.0,0.6666666666666666
122,0.8444444444444444,0.044444444444444446,0.1111111111111111,0.10561990245733412,0.6222222222222222,0.6222222222222222,100,1.0,0.26666666666666666,0.7333333333333334
123,0.6222222222222222,0.2222222222222222,0.15555555555555556,0.32951967262734194,0.4888888888888889,0.5555555555555556,69,0.4666666666666667,0.4666666666666667,0.0
124,0.4444444444444444,0.5555555555555556,0.0,0.5508052547238982,0.0,0.8444444444444444,38,0.0,0.0,0.0
125,0.7777777777777778,0.2,0.022222222222222223,0.1399568051567811,0.37777777777777777,0.7555555555555555,86,0.8666666666666667,0.06666666666666667,0.8
126,0.7555555555555555,0.2222222222222222,0.022222222222222223,0.12937950598142617,0.35555555555555557,0.6222222222222222,80,0.8,0.06666666666666667,0.7333333333333334
